time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-06-04T01:26:15.400Z,44.8013,-110.762,5.6,0.9,Ml,,244.8,0.06288207,0.13,uu,uu60071677,2014-06-04T21:35:47.898Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.4,1.3,0.5,2,reviewed,uu,uu
2014-06-04T01:23:52.100Z,44.7957,-110.7638,4,0.7,Md,,244.8,0.06288207,0.08,uu,uu60071672,2014-06-06T19:18:12.338Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.4,2.3,0.3,4,reviewed,uu,uu
2014-06-04T01:21:37.700Z,44.7822,-110.7707,3.2,0.8,Ml,,219.6,0.05389892,0.09,uu,uu60071667,2014-06-04T21:19:12.737Z,"22 km SSW of Mammoth, Wyoming",earthquake,1.1,2.5,0.5,2,reviewed,uu,uu
2014-06-04T01:18:17.900Z,44.8238,-110.7465,6.7,1.4,Ml,,259.2,0.08084838,0.07,uu,uu60071662,2014-06-06T19:25:57.419Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.3,0.9,0.2,2,reviewed,uu,uu
2014-06-04T01:02:19.300Z,44.8183,-110.7465,7.3,1.2,Ml,,255.6,0.08084838,0.1,uu,uu60071657,2014-06-04T20:59:12.591Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.4,0.8,0.4,2,reviewed,uu,uu
2014-06-04T00:58:31.100Z,44.7825,-110.7655,4.8,2.4,Ml,,100.8,0.06288207,0.12,uu,uu60071652,2014-06-04T14:33:03.226Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.3,0.4,0.5,5,reviewed,uu,uu
2014-06-04T00:32:42.800Z,44.8033,-110.754,6.4,1.6,Ml,,248.4,0.07186522,0.08,uu,uu60071647,2014-06-04T20:31:57.384Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.1,1.6,0.3,2,reviewed,uu,uu
2014-06-04T00:09:57.800Z,44.7832,-110.7702,4.7,2.1,Ml,,100.8,0.05389892,0.16,uu,uu60071642,2014-06-04T20:26:17.328Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.4,0.6,0.5,5,reviewed,uu,uu
2014-06-03T23:54:30.000Z,44.8042,-110.7607,5.1,1.4,Ml,,244.8,0.06288207,0.13,uu,uu60071637,2014-06-04T20:18:02.254Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.1,1.8,0.4,2,reviewed,uu,uu
2014-06-03T23:52:48.000Z,44.8193,-110.7527,7.7,1.1,Ml,,255.6,0.07186522,0.06,uu,uu60071632,2014-06-04T20:13:52.212Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.5,1.1,0.2,2,reviewed,uu,uu
2014-06-03T23:48:59.000Z,44.7823,-110.7695,6.3,2.1,Ml,,100.8,0.05389892,0.19,uu,uu60071627,2014-06-04T20:08:42.158Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.5,1,0.5,5,reviewed,uu,uu
