evid,event_lat,event_lon,event_depth,magnitude,magnitude_type,origin_time
60060327,44.7861667,-110.77933329999999,10.82,0.88,l,1395314029.16
60060412,44.751999999999995,-110.78466670000002,1.38,0.98,l,1395346668.2
60060427,44.7541667,-110.78616670000001,2.14,0.92,l,1395348304.97
60060432,44.7583333,-110.79766670000001,5.21,0.92,l,1395350841.51
60060437,44.7476667,-110.78399999999999,1.06,0.28,d,1395351998.67
60060452,44.751999999999995,-110.78833329999999,3.11,0.88,l,1395358259.74
60060457,44.7646667,-110.7815,7.51,1.99,l,1395363292.13
60060472,44.7918333,-110.76283329999998,10.04,0.91,l,1395379335.91
60060477,44.7651667,-110.77916670000002,5.89,1.19,l,1395380932.25
60060482,44.752166700000004,-110.7765,4.11,1.0,l,1395381361.19
60060492,44.7846667,-110.7815,7.53,0.65,l,1395387102.83
60060497,44.7471667,-110.78166670000002,6.5,0.98,l,1395397202.08
60060507,44.8238333,-110.77083329999999,4.35,0.96,l,1395417059.22
60060512,44.8271667,-110.7655,6.12,1.69,l,1395417075.27
60060527,44.823666700000004,-110.76299999999999,7.29,2.34,l,1395420839.82
60060612,44.8295,-110.76233329999998,3.68,1.9,l,1395461492.02
60060617,44.751000000000005,-110.77983329999999,7.9,2.29,l,1395465625.08
60060627,44.7561667,-110.77833329999999,7.83,1.85,l,1395466456.64
60060637,44.7513333,-110.7796667,7.81,2.32,l,1395466617.42
60060642,44.7518333,-110.7855,7.75,1.65,l,1395466778.59
60060647,44.825166700000004,-110.77,4.3,1.8,l,1395467187.61
60060677,44.8303333,-110.76416670000002,2.65,1.59,l,1395477849.31
60060802,44.7678333,-110.76700000000001,7.89,1.97,l,1395561747.82
60060942,44.7783333,-110.77383329999999,7.49,1.69,l,1395660097.27
