Evid,EqLat,EqLon,EqDepSL,EqOt,CatMag,CatMagType,Date,Event-Mean-YPML,Event-Median-YPML,Event-Mean-YPML-S,Event-Median-YPML-S
60002295.0,44.81,-111.0173333,7.98,1385242561.33,0.89,l,2013-11-23 21:36:01.330000+00:00,0.9934239706219185,0.9934239706219185,0.9705541961719184,0.9705541961719184
60002450.0,44.7591667,-110.7723333,10.02,1389002327.0200005,0.91,l,2014-01-06 09:58:47.020000+00:00,0.8807351059086241,0.8807351059086241,0.8596985677086242,0.8596985677086242
60002455.0,44.7436667,-110.797,2.42,1389147328.3400002,0.63,l,2014-01-08 02:15:28.340000+00:00,0.3050288914953675,0.3050288914953675,0.2839923532953675,0.2839923532953675
60002747.0,44.397,-111.05,16.44,1351240288.2600002,2.33,l,2012-10-26 08:31:28.260000+00:00,2.475555486101686,2.4685168157753887,2.5018887881016862,2.460866897128993
60002757.0,44.399,-111.0498333,15.61,1351240342.5900002,2.1,l,2012-10-26 08:32:22.590000+00:00,2.3527263876575937,2.3527263876575937,2.329856613207593,2.329856613207593
60002762.0,44.3941667,-111.0315,12.6,1351240435.6299973,1.79,l,2012-10-26 08:33:55.629997+00:00,1.968186994965496,2.023028655128661,1.9466313976321623,2.0041014120286613
60002767.0,44.3945,-111.0411667,12.84,1351240504.6599998,1.56,l,2012-10-26 08:35:04.660000+00:00,1.788204588984588,1.788204588984588,1.765334814534588,1.765334814534588
60002782.0,44.3868333,-111.052,14.32,1351242407.6299973,2.19,l,2012-10-26 09:06:47.629997+00:00,2.251487209115837,2.212575374867849,2.2348430876658374,2.231198686767849
60002787.0,44.3895,-111.0806667,12.47,1351242894.9399986,1.39,l,2012-10-26 09:14:54.939999+00:00,1.7517105803720758,1.7517105803720758,1.6912902509220755,1.6912902509220755
60002865.0,44.7525,-110.6971667,1.94,1392011560.6599998,1.89,l,2014-02-10 05:52:40.660000+00:00,1.718186054867998,1.7670135957771973,1.7417511552479985,1.7225691225361712
60002870.0,44.7405,-110.794,3.08,1392072551.2799995,0.44,l,2014-02-10 22:49:11.279999+00:00,-0.0976138079581335,0.0512594674555115,-0.0168362635248001,0.0493497736555115
60002910.0,44.742,-110.7868333,4.71,1392160217.6099987,0.71,l,2014-02-11 23:10:17.609999+00:00,0.4535693743054934,0.4535693743054934,0.4325328361054934,0.4325328361054934
60002925.0,44.7541667,-110.7858333,7.88,1392160346.8099997,1.07,l,2014-02-11 23:12:26.810000+00:00,0.99028504197442,1.0529330340586498,0.99498530547442,1.0153927966967249
60002942.0,44.608,-110.6526667,5.84,1351385186.0699997,2.0,l,2012-10-28 00:46:26.070000+00:00,1.941747562002165,1.9127458872531573,1.925103440552165,1.9149636555539007
60002985.0,44.7571667,-110.7778333,12.13,1392162715.869999,0.7,l,2014-02-11 23:51:55.869999+00:00,0.6806113071283576,0.4521037230349902,0.6853115706283575,0.5082775899349903
60003095.0,44.7138333,-110.5693333,1.06,1392342882.4799995,1.27,l,2014-02-14 01:54:42.480000+00:00,0.8028452936657282,0.8028452936657282,0.8233018418157283,0.8233018418157283
60003140.0,44.7328333,-110.6441667,4.69,1392821353.29,1.73,l,2014-02-19 14:49:13.290000+00:00,0.770945423123974,0.770945423123974,0.799910745923974,0.799910745923974
60003155.0,44.7498333,-110.8081667,5.54,1392922862.4199998,1.38,l,2014-02-20 19:01:02.420000+00:00,1.1785787496773847,1.1785787496773847,1.1575422114773848,1.1575422114773848
60003157.0,44.5746667,-110.9813333,11.04,1351533513.3999977,1.73,l,2012-10-29 17:58:33.399998+00:00,1.6657770386338957,1.674310460716718,1.6498939577338956,1.5723970449167182
60003182.0,44.7523333,-110.847,6.92,1351537361.1699982,1.84,l,2012-10-29 19:02:41.169998+00:00,1.589931368765755,1.647061916194834,1.5929791429407552,1.676027238994834
60003335.0,44.7443333,-110.7821667,4.72,1393699478.4099998,1.88,l,2014-03-01 18:44:38.410000+00:00,1.5787647186575176,1.4732688138568042,1.6180833355375177,1.471359120056804
